Symbol,Market Cap
ORLY,81534132224
OXY,46528655360
ODFL,36181532672
OMC,15843068928
ON,18441381888
OKE,61609869312
ORCL,408800624640
OTIS,40845422592
PCAR,51543367680
PKG,17830043648
PLTR,211293454336
PANW,115496722432
PARA,8318262272
PH,80640368640
PAYX,54687801344
PAYC,12642826240
PYPL,68119203840
PNR,14733470720
PEP,205272399872
PFE,141842972672
PCG,37619896320
PM,241018847232
PSX,50848092160
PNW,11078588416
PNC,69244379136
POOL,12199055360
PPG,24595011584
PPL,25825523712
PFG,19191582720
PG,395599642624
PGR,161021460480
PLD,102649749504
PRU,40501141504
PEG,40238858240
PTC,19289139200
PSA,51207442432
PHM,21174487040
PWR,37772705792
QCOM,174714814464
DGX,18422347776
RL,13906827264
RJF,29228361728
RTX,178141052928
O,50081746944
REG,13220079616
REGN,69512118272
RF,19856848896
RSG,74876575744
RMD,32695533568
RVTY,12896578560
ROK,30312607744
ROL,26087387136
ROP,63630979072
ROST,42590531584
RCL,58465583104
SPGI,155991244800
CRM,266975412224
SBAC,23285733376
SLB,57250103296
STX,18524362752
SRE,45641076736
NOW,170917560320
SHW,86934429696
SPG,62531756032
SWKS,10657128448
SJM,12422056960
SW,23697711104
SNA,17575163904
SOLV,13063457792
SO,98744901632
LUV,20108988416
SWK,12009147392
SBUX,112286679040
STT,26475683840
STLD,19185315840
STE,22030776320
SYK,140285968384
SMCI,20605661184
SYF,21054701568
SNPS,68996087808
SYY,36222590976
TMUS,306306023424
TROW,21046317056
TTWO,37821325312
TPR,15060341760
TRGP,43405475840
TGT,48523399168
TEL,43890708480
TDY,23742498816
TER,13856084992
TSLA,878528102400
TXN,164476780544
TPL,30613686272
TXT,13672428544
TMO,193036894208
TJX,135539974144
TKO,12386391040
TSCO,28788639744
TT,77739261952
TDG,77635665920
TRV,59556646912
TRMB,16708940800
TFC,54043144192
TYL,24879183872
TSN,22219380736
USB,67352772608
UBER,156551725056
UDR,16659785728
ULTA,17173591040
UNP,141421068288
UAL,24069310464
UPS,94084530176
URI,42199310336
UNH,471735238656
UHS,12124822528
VLO,41895636992
VTR,29712406528
VLTO,24232767488
VRSN,24098404352
VRSK,41646542848
VZ,189268115456
VRTX,129049812992
VTRS,10552219648
VICI,33687597056
V,674883436544
VST,40584130560
VMC,31379269632
WRB,25135097856
GWW,47556730880
WAB,31934908416
WBA,9650442240
WMT,686482849792
DIS,181592489984
WBD,27026907136
WM,92092383232
WAT,22017085440
WEC,33751617536
WFC,236005752832
WELL,96144900096
WST,16342488064
WDC,14577303552
WY,21477873664
WSM,20244211712
WMB,72545607680
WTW,33983213568
WDAY,65050300416
WYNN,9146287104
XEL,39828017152
XYL,29656471552
YUM,44000432128
ZBRA,14650265600
ZBH,22324916224
ZTS,73894641664
